id,name,area,health,weaknesses,resistances,drops,phases,is_optional,is_remembrance,walkthrough
1,"Soldier of Godrick","Cave of Knowledge",400,"Strike","None","None",1,False,False,"Tutorial boss. Parry or dodge and punish."
2,"Margit the Fell Omen","Stormhill",2406,"Strike,Slash","Holy,Sleep","Talisman Pouch",2,False,False,"Use Shackle x2 (from Patches). Summon Rogier. +3 weapon recommended."
3,"Godrick the Grafted","Stormveil Castle",6080,"Slash,Pierce","Holy,Bleed","Great Rune, Godrick's Axe",2,False,True,"Stay close in phase 1. Run away from tornado in phase 2. Summon Nepheli."
4,"Red Wolf of Radagon","Raya Lucaria",2520,"Strike","Magic","Memory Stone",1,False,False,"Fast boss. Use magic-resistant shield. Attack after his combo."
5,"Rennala, Queen of the Full Moon","Raya Lucaria",3495,"Any physical","Magic,Sleep","Great Rune, Remembrance",2,False,True,"Phase 1: kill glowing students. Phase 2: dodge summons, attack during cooldown."
6,"Starscourge Radahn","Caelid",9594,"Fire,Physical","Magic,Rot,Bleed","Great Rune, Remembrance",2,True,True,"Summon all NPCs. Use rot breath. Respec easy now."
7,"Godskin Noble","Volcano Manor",8360,"Slash,Pierce","Holy,Sleep","Noble Presence incantation",2,False,False,"Sleep pots let you critical hit. Pillar can block his roll."
8,"Rykard, Lord of Blasphemy","Volcano Manor",43306,"None","None","Great Rune, Remembrance",2,False,True,"Use Serpent-Hunter spear. Weapon skill staggers him."
9,"Morgott, the Omen King","Leyndell",10668,"Strike,Slash","Holy,Sleep,Bleed","Great Rune, Morgott's Cursed Sword",2,False,False,"Aggressive. Use shackle. Stay medium distance."
10,"Fire Giant","Mountaintops",42639,"Strike","Holy,Bleed,Frost","Great Rune",2,False,True,"Phase 1: attack his brace/leg. Phase 2: hit his hands/eye. Mountaintop on horse."
11,"Godskin Duo","Crumbling Farum Azula",13320,"Sleep","Rot,Bleed","Smithing Bell Bearing",2,False,False,"Use sleep pots. Put one to sleep, fight the other 1v1."
12,"Maliketh, the Black Blade","Crumbling Farum Azula",10680,"Pierce","Holy,Bleed","Remembrance",2,False,True,"Phase 1: stay close. Phase 2: stay under him. Use Blasphemous Claw to parry."
13,"Gideon Ofnir","Leyndell",5127,"Slash,Pierce","None","All-Knowing Set",1,False,False,"Interrupt spells. He dies fast if pressured."
14,"Godfrey / Hoarah Loux","Leyndell",14783,"Strike","None","Remembrance",2,False,True,"Phase 1: avoid stomp AoE. Phase 2: run from grabs. Attack after his lunges."
15,"Radagon / Elden Beast","Elden Throne",35000,"Strike,Fire","Holy","Remembrance, Elden Crown",2,False,True,"Radagon: holy resistance helps. Elden Beast: run toward it, not away."
16,"Malenia, Blade of Miquella","Miquella's Haligtree",18541,"Any physical","Holy,Bleed,Frost","Remembrance, Great Rune",2,True,True,"Waterfowl Dance: run away first 2 flurries, roll INTO last. Use Bloodhound Step. Mimic Tear helps."
17,"Mohg, Lord of Blood","Mohgwyn Palace",18207,"Physical","Bleed","Remembrance, Great Rune",2,True,True,"Use Purifying Crystal Tear. Stay close. Attack during his NIHIL chant."
18,"Dragonlord Placidusax","Crumbling Farum Azula",26471,"Pierce","Holy,Bleed","Remembrance",2,True,True,"Stay behind him. Run from nuke. Ancient Dragon's Lightning Strike destroys him."
19,"Hoarah Loux the First Elden Lord","Leyndell",18490,"Strike","None","Remembrance",2,True,True,"Phase 1: stay close. Phase 2: strafe and backstab."
20,"Lichdragon Fortissax","Deeproot Depths",27904,"Pierce,Magic","Holy","Remembrance",2,True,True,"Stay under him. Attack legs. Dodge lightning."
21,"Ancestor Spirit","Siofra River",7800,"Slash,Pierce","Magic","Remembrance",1,True,True,"Attack head for bonus damage. Dodge the orbs."
22,"Astel, Naturalborn of the Void","Lake of Rot",18126,"Strike","Magic,Bleed","Remembrance",1,True,True,"Stay under head. Run from grab. Attack after teleport."
23,"Valiant Gargoyles","Siofra Aqueduct",11200,"Strike","Holy,Pierce","Gargoyle weapons",2,True,False,"Kill first fast before second joins. Strike damage works best."
24,"Crucible Knight","Evergaol",2300,"Pierce","Magic,Lightning","Aspects of the Crucible",1,True,False,"Parry him. His attacks are telegraphed. Horn attack is easiest to parry."
25,"Flying Dragon Agheel","Limgrave",5200,"Pierce,Lightning","None","Dragon Heart",1,True,False,"Stay under him on Torrent. Attack legs. Bait fire breath."
