id,name,area,description,recommended_level,bosses,items
1,"Limgrave","Limgrave","Starting area green plains. Easy enemies, good for learning.",1,"Tree Sentinel, Flying Dragon Agheel","Flask upgrades, Golden Seeds, Sacred Tear"
2,"Weeping Peninsula","Limgrave","Southern peninsula, churches and ruins.",10,"Leonine Misbegotten","Castle Morne, Claymore, Sacred Tears"
3,"Stormhill","Limgrave","Northern Limgrave, windy cliffs.",15,"Margit the Fell Omen","Warmaster's Shack, beastial sanctum path"
4,"Stormveil Castle","Limgrave","Legacy dungeon. Godrick's castle.",20,"Godrick the Grafted","Deathtouched Catacombs, Rogier quest"
5,"Liurnia of the Lakes","Liurnia","Lake region north of Stormveil. Magic focus.",30,"Royal Knight Loretta","Raya Lucaria, Caria Manor, Albinaurics"
6,"Raya Lucaria Academy","Liurnia","Magic academy legacy dungeon.",40,"Red Wolf, Rennala","Great Rune, Memory Stones"
7,"Caelid","Caelid","Rot-infested red wasteland. High level area.",50,"Radahn, Decaying Ekzykes","Radahn Festival, Sellia, Dragonbarrow"
8,"Dragonbarrow","Caelid","Northern Caelid. Extreme difficulty.",60,"Flying Dragon Greyll","Greyoll's loot, Fort Faroth"
9,"Ainsel River","Underground","Underground river, part of Ranni quest.",30,"Dragonkin Soldier","Nokron entrance, ghost glovewort"
10,"Siofra River","Underground","Starry underground river.",30,"Ancestor Spirit","Ancestral Woods, Hallowhorn Grounds"
11,"Nokron, Eternal City","Underground","Eternal city underground.",50,"Mimic Tear boss","Fingerslayer Blade, Night's Sacred Ground"
12,"Deeproot Depths","Underground","Hidden area below Nokron.",60,"Lichdragon Fortissax","Crucifixion Tree, Prince of Death's Throne"
13,"Altus Plateau","Altus","High plateau region. Accessible via lift or mine.",50,"Ancient Dragon Lansseax","Golden Rune drops, windmill village"
14,"Leyndell, Royal Capital","Altus","Massive capital city legacy dungeon.",60,"Morgott","Erdtree, sewers, shunning grounds"
15,"Mountaintops of the Giants","Mountaintops","Snowy peak area.",70,"Fire Giant","Zamor Ruins, sacred relic sword area"
16,"Consecrated Snowfield","Mountaintops","Hidden snowfield, accessed via Haligtree secret medallion.",80,"Astel (Stars of Darkness)","Miquella's Haligtree entrance, Evergaol"
17,"Miquella's Haligtree","Mountaintops","Legendary hidden legacy dungeon.",90,"Malenia, Blade of Miquella","Loretta, sacred items"
18,"Crumbling Farum Azula","Farum Azula","Outside time, sky temple.",80,"Maliketh, Godskin Duo, Placidusax","Ancient dragon smithing stones"
19,"Mohgwyn Palace","Underground","Blood lord's palace. Endgame area.",80,"Mohg, Lord of Blood","Bird farming spot, albinauric farming"
20,"Lake of Rot","Underground","Rot lake below Ainsel River.",50,"Astel, Naturalborn of the Void","Dragonkin soldier, scarlet rot items"
