id,name,type,category,phys_dmg,str_req,dex_req,int_req,fai_req,arc_req,str_scaling,dex_scaling,int_scaling,fai_scaling,arc_scaling,weight,skill,location
1,"Longsword","weapon","straight_sword",110,10,10,0,0,0,"D","D","-","-","-",3.0,"Square Off","Starting weapon, Twin Maiden Husks"
2,"Broadsword","weapon","straight_sword",125,10,10,0,0,0,"D","D","-","-","-",4.5,"Square Off","Stormveil Castle armory"
3,"Claymore","weapon","greatsword",130,16,13,0,0,0,"D","D","-","-","-",9.0,"Stamp (Upward Cut)","Weeping Peninsula castle"
4,"Bloodhound's Fang","weapon","curved_greatsword",141,18,17,0,0,0,"D","C","-","-","-",11.5,"Bloodhound's Finesse","Forlon Hound Evergaol (Limgrave)"
5,"Moonveil","weapon","katana",99,12,18,23,0,0,"E","D","C","-","-",6.5,"Transient Moonlight","Gael Tunnel boss (Caelid)"
6,"Rivers of Blood","weapon","katana",150,12,18,0,0,20,"E","D","-","-","D",6.5,"Corpse Piler","Church of Repose (Mountaintops)"
7,"Dark Moon Greatsword","weapon","greatsword",130,16,11,38,0,0,"D","E","C","-","-",10.0,"Moonlight Greatsword","Ranni's quest reward"
8,"Blasphemous Blade","weapon","greatsword",148,22,15,0,21,0,"D","D","-","C","-",10.0,"Taker's Flames","Rykard remembrance"
9,"Sacred Relic Sword","weapon","greatsword",113,14,24,0,0,0,"D","D","-","E","-",10.0,"Wave of Gold","Elden Beast remembrance"
10,"Hand of Malenia","weapon","katana",135,16,48,0,0,0,"E","C","-","-","-",7.0,"Waterfowl Dance","Malenia remembrance"
11,"Giant-Crusher","weapon","colossal_weapon",150,60,0,0,0,0,"A","-","-","-","-",26.5,"Endure","Outer Wall Phantom Tree (carts)"
12,"Starscourge Greatsword","weapon","colossal_weapon",129,38,15,0,0,0,"D","D","C","-","-",20.0,"Starcaller Cry","Radahn remembrance"
13,"Guardian's Swordspear","weapon","halberd",130,17,16,0,0,0,"D","D","-","-","-",9.0,"Impaling Thrust","Guardian enemies (Erdtrees)"
14,"Winged Scythe","weapon","scythe",120,16,16,0,24,0,"D","D","-","C","-",5.5,"Angel's Wings","Tombsward Ruins (Weeping)"
15,"Bolt of Gransax","weapon","spear",130,20,40,0,0,0,"E","C","-","-","-",9.5,"Ancient Dragon's Lightning Strike","Leyndell capital"
16,"Sword of Night and Flame","weapon","straight_sword",87,13,12,24,24,0,"D","D","B","B","-",4.0,"Night-and-Flame Stance","Caria Manor"
17,"Uchigatana","weapon","katana",103,11,15,0,0,0,"D","D","-","-","-",5.5,"Unsheathe","Starting (Samurai), Deathtouched Catacombs"
18,"Nagakiba","weapon","katana",123,18,22,0,0,0,"E","D","-","-","-",7.0,"Unsheathe","Yura questline"
19,"Godslayer's Greatsword","weapon","greatsword",127,20,22,0,20,0,"D","D","-","C","-",10.5,"The Queen's Black Flame","Godskin Apostle (Caelid Tower)"
20,"Morgott's Cursed Sword","weapon","curved_greatsword",148,14,35,0,0,0,"E","C","-","-","-",9.0,"Cursed-Blood Slice","Morgott remembrance"
